provenance,date,subvention
region,Jan 2006,18202
departement,Jan 2006,42000
region,Jan 2007,54955
departement,Jan 2007,50550
region,Jan 2008,106153
departement,Jan 2008,64380
region,Jan 2009,97951
departement,Jan 2009,56600
region,Jan 2010,78564
departement,Jan 2010,54300
region,Jan 2011,78404
departement,Jan 2011,58900
region,Jan 2012,93795
departement,Jan 2012,66200
region,Jan 2013,113762
departement,Jan 2013,70255
region,Jan 2014,127448
departement,Jan 2014,66060
