"id","order","score","weight","color","label"
"2a",1,18.3,1,"#97FEED","Loueurs avec 2 annonces"
"3a",2,11.2,1,"#12EFC7","Loueurs avec 3 annonces"
"4a",3,4.5,1,"#06BBBD","Loueurs avec 4 annonces"
"5a",4,1.46,1,"#038588","Loueurs avec 5 annonces"
"6a",5,0,1,"#034242","Loueurs avec 6 annonces"
"7a",6,0,1,"#012828","Loueurs avec 7 annonces"
"8a",7,1.46,1,"#010E21 ","Loueurs avec 8 annonces"


